ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options,dataTables
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.SourceSpecTextBlockNewLine,New line at the end of `SourceSpecs` text blocks,Text blocks that assert before and after source code should have a new line after it is closed.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UseDisplayNameAndDescriptionFields,Replace `getDisplayName()` and `getDescription()` methods with fields,Recipe classes that return a simple string literal (or concatenation of string literals) from `getDisplayName()` or `getDescription()` can use Lombok annotated fields instead.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UseEstimatedEffortPerOccurrenceField,Replace `getEstimatedEffortPerOccurrence()` method with field,Recipe classes that return a simple expression from `getEstimatedEffortPerOccurrence()` can use a Lombok annotated field instead.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UseRewriteTestDefaults,Refactor RewriteTest to use defaults method,"When all `rewriteRun` methods in a test class use the same RecipeSpec configuration, refactor to use the `defaults` method instead.",1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UseStringUtilsRecipes,Use `StringUtils` utility methods,Replaces common string null and empty checks with `org.openrewrite.internal.StringUtils` utility methods.,9,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UseStringUtilsRecipes$StringUtilsIsBlankRecipe,Use `StringUtils#isBlank(String)`,Replace `str == null || str.trim().isEmpty()` with `StringUtils.isBlank(str)`.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UseStringUtilsRecipes$StringUtilsIsNotBlankRecipe,Use `!StringUtils#isBlank(String)`,Replace `str != null && !str.trim().isEmpty()` with `!StringUtils.isBlank(str)`.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UseStringUtilsRecipes$StringUtilsIsNotEmptyRecipe,Use `StringUtils#isNotEmpty(String)`,Replace `str != null && !str.isEmpty()` with `StringUtils.isNotEmpty(str)`.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UseStringUtilsRecipes$StringUtilsIsNullOrEmptyRecipe,Use `StringUtils#isNullOrEmpty(String)`,Replace `str == null || str.isEmpty()` with `StringUtils.isNullOrEmpty(str)`.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UseTagsField,Replace `getTags()` method with field,Recipe classes that return a simple expression from `getTags()` can use a Lombok annotated field instead.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
